reward_today,future_reward,delay,key_resp.keys,k,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
92,88,185,l,-0.000235018,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
84,82,173,l,-0.000137627,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
98,100,193,l,0.000105742,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
78,80,162,l,0.000158278,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
67,75,119,l,0.001003386,,
49,60,89,l,0.002522357,,
49,60,89,l,0.002522357,,
49,60,89,l,0.002522357,,
49,60,89,l,0.002522357,,
49,60,89,l,0.002522357,,0.002522357
49,60,89,t,0.002522357,,
49,60,89,t,0.002522357,,
49,60,89,t,0.002522357,,
49,60,89,t,0.002522357,,
49,60,89,t,0.002522357,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
40,55,62,t,0.006048387,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
27,50,21,t,0.040564374,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
15,35,13,t,0.102564103,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
11,30,7,t,0.246753247,,
